File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\buildmark.c,30,11,4,1,4,0,15,126,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,2186,1474,876,327,397,12,315,1891,29,198
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\connection.c,182,92,46,9,26,1,64,548,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,4019,2998,1705,598,618,34,403,2765,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core_filters.c,927,584,371,111,118,22,225,1802,19,137
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\eoc_bucket.c,56,33,18,3,8,0,15,126,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\error_bucket.c,75,49,24,4,11,0,15,126,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\gen_test_char.c,122,68,24,11,16,0,38,295,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,689,484,281,114,89,2,116,912,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,1054,784,427,117,125,9,145,1106,21,140
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\main.c,756,580,319,48,122,7,54,443,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,1318,974,531,187,190,27,154,1340,25,225
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,1644,1052,693,211,242,26,350,2850,21,156
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\provider.c,166,110,61,22,37,0,19,167,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,1914,1127,671,281,242,19,545,4088,25,163
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,499,372,214,68,64,9,63,493,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,2149,1559,987,398,260,26,330,2409,26,170
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_cfgtree.c,48,25,15,8,5,0,18,150,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_charset.c,43,8,1,0,7,1,28,213,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_debug.c,129,81,24,7,23,0,25,198,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_ebcdic.c,113,80,49,17,18,1,15,128,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,623,480,275,87,72,2,71,582,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_md5.c,173,68,48,7,23,2,82,603,40,260
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_pcre.c,231,120,67,20,41,7,70,472,43,289
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_script.c,722,520,331,96,89,12,113,894,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_time.c,241,140,110,13,21,1,80,634,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_xml.c,136,86,56,14,28,0,22,181,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\vhost.c,1073,676,432,127,129,9,268,1996,20,143
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.c,1208,730,458,138,160,15,318,2544,31,238
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\beos.h,35,8,5,0,4,1,23,149,22,144
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\mpm.h,51,19,3,0,8,1,24,152,23,147
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\beos\mpm_default.h,85,29,0,0,12,1,44,300,22,142
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\event.c,2455,1639,1017,250,287,41,529,4158,44,366
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.c,420,273,184,74,56,4,91,698,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\pod.c,110,71,45,17,17,0,22,156,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\fdqueue.h,83,50,27,0,10,1,23,147,22,142
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\mpm.h,63,29,4,0,10,1,24,155,23,150
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\mpm_default.h,80,27,0,0,15,1,38,248,22,142
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\experimental\event\pod.h,61,29,11,0,9,0,23,144,22,141
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\mpmt_os2\mpmt_os2.c,578,388,238,65,118,12,72,520,36,247
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\mpmt_os2\mpmt_os2_child.c,481,336,229,48,104,2,41,321,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\mpmt_os2\mpm.h,44,13,1,0,8,1,23,151,22,146
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\mpmt_os2\mpm_default.h,69,21,0,0,12,1,36,222,22,142
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\netware\mpm_netware.c,1302,930,578,157,175,17,197,1514,37,243
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\netware\mpm.h,59,15,3,0,10,1,34,170,23,147
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\netware\mpm_default.h,123,39,0,0,21,1,63,387,22,143
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\prefork\prefork.c,1477,988,585,154,184,32,305,2328,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\prefork\mpm.h,63,30,3,0,9,1,24,157,23,152
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\prefork\mpm_default.h,75,24,0,0,13,1,38,248,22,142
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\winnt\child.c,1158,807,539,129,122,7,229,1546,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\winnt\mpm_winnt.c,1763,1168,705,208,182,26,413,2920,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\winnt\nt_eventlog.c,190,123,84,9,30,1,37,291,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\winnt\service.c,1347,945,560,173,187,44,215,1668,19,155
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\winnt\Win9xConHook.c,698,454,252,88,64,3,180,1282,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\winnt\mpm.h,50,14,3,0,8,1,28,192,27,187
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\winnt\mpm_default.h,90,28,0,0,13,1,49,317,22,142
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\winnt\mpm_winnt.h,131,74,41,0,24,1,33,214,22,142
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\winnt\Win9xConHook.h,67,7,2,0,13,1,47,290,22,140
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\worker\fdqueue.c,384,255,173,77,51,2,78,585,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\worker\pod.c,111,71,45,17,18,0,22,156,15,126
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\worker\worker.c,2261,1533,931,238,248,46,480,3849,21,180
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\worker\fdqueue.h,74,42,24,0,9,1,23,147,22,142
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\worker\mpm.h,63,29,4,0,10,1,24,154,23,149
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\worker\mpm_default.h,79,27,0,0,14,1,38,248,22,142
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm\worker\pod.h,60,28,11,0,9,0,23,147,22,144
